SpectraShop	5.0
NUMBER_OF_SETS	24
ORIGINATOR	"Robin D. Myers"
CREATED	"2006-07-11"
MANUFACTURER	"Macbeth"
PROD_DATE	"1990-11"
SPECTRUM_TYPE	"Reflective"
MATERIAL	"Paint"
SURFACE	"Matte"
INSTRUMENTATION	"Spectrolino"
INSTRUMENT_SERIAL_NUMBER	""
MEASUREMENT_GEOMETRY	"45/0"
MEASUREMENT_SOURCE	"D65"
MEASUREMENT_APERTURE	"4 mm"
MEASUREMENT_FILTER	"D65"
SAMPLE_BACKING	"self"
NMEASUREMENTS	4
OBSERVER	"2 degree"
ILLUMINANT	"D65"
RGB_SPACE	"sRGB"
NUMBER_OF_FIELDS	75
BEGIN_DATA_FORMAT
SAMPLE_ID1	SAMPLE_ID2	SAMPLE_ID3	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL	SPECTRAL_NM	SPECTRAL_VAL
END_DATA_FORMAT
BEGIN_DATA
"Dark skin"	""	""	
380	5.587500E-2
390	6.162500E-2
400	7.170000E-2
410	7.747500E-2
420	7.442500E-2
430	6.887500E-2
440	6.450000E-2
450	6.192500E-2
460	6.080000E-2
470	6.075000E-2
480	6.165000E-2
490	6.402500E-2
500	6.727500E-2
510	7.105000E-2
520	7.687499E-2
530	8.192500E-2
540	8.459999E-2
550	8.712500E-2
560	9.209999E-2
570	1.033250E-1
580	1.187500E-1
590	1.325750E-1
600	1.422000E-1
610	1.498000E-1
620	1.568750E-1
630	1.653500E-1
640	1.748500E-1
650	1.887000E-1
660	2.060250E-1
670	2.257750E-1
680	2.459250E-1
690	2.667750E-1
700	2.896500E-1
710	3.137500E-1
720	3.423500E-1
730	3.658250E-1
"Light skin"	""	""	
380	1.041500E-1
390	1.393500E-1
400	1.832500E-1
410	2.085500E-1
420	2.134500E-1
430	2.161000E-1
440	2.211750E-1
450	2.297750E-1
460	2.430500E-1
470	2.606750E-1
480	2.774000E-1
490	2.872500E-1
500	2.947750E-1
510	3.152250E-1
520	3.277750E-1
530	3.077250E-1
540	2.965500E-1
550	3.033250E-1
560	2.995000E-1
570	3.035500E-1
580	3.490500E-1
590	4.216000E-1
600	4.829750E-1
610	5.207000E-1
620	5.418500E-1
630	5.555000E-1
640	5.671999E-1
650	5.814500E-1
660	5.995499E-1
670	6.224250E-1
680	6.500500E-1
690	6.818750E-1
700	7.152250E-1
710	7.465250E-1
720	7.649750E-1
730	7.563500E-1
"Blue sky"	""	""	
380	1.133500E-1
390	1.661000E-1
400	2.526250E-1
410	3.237500E-1
420	3.470500E-1
430	3.505750E-1
440	3.480750E-1
450	3.420750E-1
460	3.328500E-1
470	3.199750E-1
480	3.035500E-1
490	2.856000E-1
500	2.675500E-1
510	2.507500E-1
520	2.333250E-1
530	2.156750E-1
540	2.037250E-1
550	1.963500E-1
560	1.868750E-1
570	1.776000E-1
580	1.683750E-1
590	1.606250E-1
600	1.540500E-1
610	1.476500E-1
620	1.406500E-1
630	1.331250E-1
640	1.251500E-1
650	1.189000E-1
660	1.140750E-1
670	1.107500E-1
680	1.085250E-1
690	1.070750E-1
700	1.072750E-1
710	1.082500E-1
720	1.108750E-1
730	1.206000E-1
"Foliage"	""	""	
380	5.080000E-2
390	5.345000E-2
400	5.562500E-2
410	5.680000E-2
420	5.735000E-2
430	5.905000E-2
440	6.180000E-2
450	6.564999E-2
460	6.922500E-2
470	7.235000E-2
480	7.462499E-2
490	7.732499E-2
500	8.350000E-2
510	1.071500E-1
520	1.519500E-1
530	1.836250E-1
540	1.832500E-1
550	1.662250E-1
560	1.459750E-1
570	1.331250E-1
580	1.304750E-1
590	1.229750E-1
600	1.121000E-1
610	1.058500E-1
620	1.051250E-1
630	1.070750E-1
640	1.044000E-1
650	1.008250E-1
660	1.004500E-1
670	1.060500E-1
680	1.254000E-1
690	1.662750E-1
700	2.227500E-1
710	2.748250E-1
720	3.018750E-1
730	3.014750E-1
"Blue flower"	""	""	
380	1.177500E-1
390	1.788250E-1
400	2.960750E-1
410	4.072000E-1
420	4.496000E-1
430	4.570750E-1
440	4.524250E-1
450	4.424000E-1
460	4.293000E-1
470	4.137500E-1
480	3.912500E-1
490	3.706250E-1
500	3.503000E-1
510	3.247250E-1
520	2.859000E-1
530	2.426250E-1
540	2.176000E-1
550	2.118750E-1
560	2.055250E-1
570	1.981500E-1
580	2.050500E-1
590	2.216750E-1
600	2.351750E-1
610	2.467500E-1
620	2.470500E-1
630	2.475250E-1
640	2.687500E-1
650	3.180500E-1
660	3.887000E-1
670	4.602500E-1
680	5.117500E-1
690	5.405500E-1
700	5.529500E-1
710	5.581750E-1
720	5.561750E-1
730	5.449750E-1
"Bluish green"	""	""	
380	1.090000E-1
390	1.552250E-1
400	2.326750E-1
410	2.964750E-1
420	3.211500E-1
430	3.352500E-1
440	3.504000E-1
450	3.705250E-1
460	4.045500E-1
470	4.603250E-1
480	5.276999E-1
490	5.780750E-1
500	5.956750E-1
510	5.944500E-1
520	5.845000E-1
530	5.629750E-1
540	5.306000E-1
550	4.903750E-1
560	4.435250E-1
570	4.004500E-1
580	3.552750E-1
590	3.121000E-1
600	2.718000E-1
610	2.450250E-1
620	2.313000E-1
630	2.243250E-1
640	2.179750E-1
650	2.140500E-1
660	2.166250E-1
670	2.252500E-1
680	2.364750E-1
690	2.472000E-1
700	2.558500E-1
710	2.602750E-1
720	2.599000E-1
730	2.634750E-1
"Orange"	""	""	
380	5.350000E-2
390	5.580000E-2
400	5.690000E-2
410	5.700000E-2
420	5.610000E-2
430	5.550000E-2
440	5.517500E-2
450	5.500000E-2
460	5.530000E-2
470	5.627500E-2
480	5.772500E-2
490	5.945000E-2
500	6.225000E-2
510	6.860000E-2
520	8.337500E-2
530	1.139750E-1
540	1.625250E-1
550	2.216500E-1
560	2.903500E-1
570	3.742000E-1
580	4.541750E-1
590	5.082250E-1
600	5.403500E-1
610	5.615750E-1
620	5.762750E-1
630	5.869000E-1
640	5.959250E-1
650	6.045000E-1
660	6.128500E-1
670	6.197500E-1
680	6.263500E-1
690	6.330250E-1
700	6.384749E-1
710	6.430250E-1
720	6.384250E-1
730	6.169249E-1
"Purplish blue"	""	""	
380	8.885000E-2
390	1.283250E-1
400	1.986000E-1
410	2.688500E-1
420	3.086500E-1
430	3.377000E-1
440	3.665750E-1
450	3.878000E-1
460	3.823500E-1
470	3.556250E-1
480	3.139500E-1
490	2.598500E-1
500	2.104500E-1
510	1.741250E-1
520	1.440500E-1
530	1.201250E-1
540	1.077750E-1
550	1.005750E-1
560	9.185000E-2
570	8.629999E-2
580	8.639999E-2
590	8.907500E-2
600	9.045000E-2
610	8.989999E-2
620	8.847500E-2
630	9.097499E-2
640	9.852500E-2
650	1.101250E-1
660	1.218500E-1
670	1.271000E-1
680	1.238000E-1
690	1.186250E-1
700	1.185250E-1
710	1.236250E-1
720	1.324500E-1
730	1.477750E-1
"Moderate red"	""	""	
380	8.952500E-2
390	1.157250E-1
400	1.393750E-1
410	1.462500E-1
420	1.412000E-1
430	1.357500E-1
440	1.336000E-1
450	1.316000E-1
460	1.290500E-1
470	1.273500E-1
480	1.221250E-1
490	1.126750E-1
500	1.057750E-1
510	1.027750E-1
520	9.784999E-2
530	9.310000E-2
540	9.464999E-2
550	1.019750E-1
560	1.073250E-1
570	1.114500E-1
580	1.461500E-1
590	2.501000E-1
600	3.908500E-1
610	5.042500E-1
620	5.671250E-1
630	5.933750E-1
640	6.017500E-1
650	6.042750E-1
660	6.058249E-1
670	6.067250E-1
680	6.079000E-1
690	6.081499E-1
700	6.075750E-1
710	6.069250E-1
720	5.975249E-1
730	5.750500E-1
"Purple"	""	""	
380	7.912499E-2
390	1.102000E-1
400	1.521000E-1
410	1.862750E-1
420	1.989000E-1
430	1.913500E-1
440	1.683750E-1
450	1.419250E-1
460	1.174250E-1
470	9.697500E-2
480	8.225000E-2
490	7.207499E-2
500	6.422500E-2
510	5.950000E-2
520	5.727500E-2
530	5.495000E-2
540	5.292500E-2
550	5.287500E-2
560	5.382500E-2
570	5.487500E-2
580	5.442500E-2
590	5.380000E-2
600	5.752500E-2
610	6.820000E-2
620	8.750000E-2
630	1.119250E-1
640	1.340250E-1
650	1.547500E-1
660	1.773250E-1
670	2.049000E-1
680	2.383750E-1
690	2.795250E-1
700	3.246250E-1
710	3.713250E-1
720	4.145000E-1
